문장,흥미유형,직업목록
나는 손으로 직접 만드는 걸 좋아해요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
실용적인 일을 선호하고 활동적인 걸 즐깁니다.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
도구나 기계를 다루는 걸 좋아해요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
몸을 움직이는 일이 즐거워요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
야외 활동이나 체험 위주의 일을 좋아합니다.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
반복적이거나 안정적인 일이 좋아요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
건축이나 기술 관련 일을 해보고 싶어요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
기술이나 장비를 다루는 일이 좋아요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
손재주가 좋다는 말을 자주 들어요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
현실적인 문제를 해결하는 걸 잘해요.,현실형 (R),"촬영기사, 비행기 조종사, 경찰관, 항공기정비원, 운동경기심판, 소방관, 동물보호보안관, 운동선수, 요리사, 군인"
궁금한 건 끝까지 파고드는 편이에요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
과학이나 수학 문제를 푸는 걸 좋아해요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
논리적으로 생각하는 걸 즐깁니다.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
실험하고 분석하는 과정이 흥미로워요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
호기심이 많고 새로운 걸 배우는 걸 좋아해요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
복잡한 문제를 해결할 때 재미를 느껴요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
연구나 조사 활동에 관심이 많아요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
정보를 체계적으로 정리하는 걸 좋아해요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
지식 습득이 즐겁다고 느껴져요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
책이나 다큐멘터리를 즐겨봐요.,탐구형 (I),"프로파일러, 무인항공시스템·드론개발자, 심리학연구원, 로봇 윤리학자, 천문학연구원, 의사, 신약개발연구원, 빅 데이터 전문가, 로봇연구원, 수의사"
감성적이고 예술적인 걸 좋아해요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
자유롭게 표현하는 걸 좋아합니다.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
"그림, 음악, 글쓰기 등 창작 활동을 즐겨요.",예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
나만의 스타일을 표현하고 싶어요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
예술 전시나 공연 보는 걸 좋아해요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
창의적인 아이디어를 내는 걸 즐깁니다.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
틀에 박힌 것보다 새로운 시도를 좋아해요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
상상력이 풍부하다는 말을 자주 들어요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
조용히 몰입하는 창작 시간이 좋아요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
독창적인 것을 만들어내고 싶어요.,예술형 (A),"제품디자이너, 연주가, 화가, 모델, 웹툰작가, 연기자, 패션지다이너, 가수, 인테리어디자이너, 뷰티디자이너"
사람들과 대화하는 걸 좋아해요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
도와주는 일에서 보람을 느껴요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
누군가의 고민을 잘 들어주는 편이에요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
봉사활동에 자주 참여했어요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
다른 사람의 입장을 잘 이해해요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
친구들 사이에서 상담을 자주 해줘요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
사회문제에 관심이 많아요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
함께 협력하는 활동이 좋아요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
감정에 공감하는 편이에요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
따뜻한 말을 자주 건네요.,사회형 (S),"사회복지사, 승무원, 간호사, 노년플래너, 상담전문가, 사회단체활동가, 노무사, 괴롭힘방지조언사, 교사, 스포츠심리상담사"
주도적으로 나서는 걸 좋아해요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
목표를 향해 도전하는 게 재미있어요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
발표나 리더 역할을 맡는 걸 좋아해요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
스스로 계획을 세우고 추진하는 편이에요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
승부욕이 있는 편이에요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
경쟁 상황에서 긴장보다 흥미를 느껴요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
다른 사람을 설득하거나 이끄는 게 자신 있어요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
빠르게 성과를 내는 걸 좋아해요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
효율성과 실적을 중요하게 생각해요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
사업이나 창업에 관심 있어요.,진취형 (E),"쇼핑호스트, 외교관, 캐스팅디렉터, 방송연출가, 국제개발협력전문가, 금융자산운용가, 경영컨설턴트, 크라우드 펀딩 전문가, 스포츠감독, 기업고위임원/CEO"
체계적으로 정리하는 걸 좋아해요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
규칙이 있는 활동이 안정감을 줘요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
꼼꼼하고 정확하게 일처리하는 편이에요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
서류나 문서 정리 같은 일이 잘 맞아요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
행정 업무에 관심 있어요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
반복적인 일도 성실하게 할 수 있어요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
조직의 질서를 잘 지키는 편이에요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
계획표를 짜는 걸 좋아해요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
절차나 규정을 잘 따르는 편이에요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
실수를 줄이는 걸 중요하게 생각해요.,관습형 (C),"회계사, 법무사, 판사, 출판편집자, 도선사, 식품가공검사원, 사서, 항공교통관제사, 항공기선박조립검사원, 공무원"
